title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Zero-Shot Multi-Label Text Classification Using Heterogeneous Encoder-Decoder Models,"P Petropoulos, A Kaiserlis, E Stamatatos",2026,0,"… when LLM-generated label descriptions are used. We also test various encoder-decoder … For the proposed encoder-decoder approach, we employ a Transformer decoder based on …",2Ys33jTnP_0J,"P Petropoulos, A Kaiserlis, E Stamatatos - IFIP International Conference …, 2026 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-032-30612-8_21,unknown,unknown
Interpreting transformer-based classifiers via clustering,"GM Gritsai, AV Grabovoy",2025,0,"… , the Transformer architecture boost not only encoder-decoder models … The reasoning behind a classifier’s decision is difficult to … the classification task of this work, a special classification …",4RsglW1_0VMJ,"GM Gritsai, AV Grabovoy - Doklady Mathematics, 2025 - Springer",[],https://link.springer.com/article/10.1134/S1064562425700401,unknown,unknown
Beyond Transformers: Leveraging Large Language Models and Encoder-Decoder,MJ Alam,2026,1,"… emotion classification models across classical machine learning, deep learning, transformer … In this section we address RQ3 by analyzing LLM performance trade-offs in terms of …",BHgdRNfcWmAJ,"MJ Alam - Social Networks Analysis and Mining: 17th …, 2026 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=dcq9EQAAQBAJ&oi=fnd&pg=PA464&dq=encoder-decoder+transformers+LLM+classification+reasoning&ots=yvma3KniNL&sig=1Ge4lcbGIljxH6NbS0M1R_4QLOM,unknown,unknown
A knowledge-enhanced dual-perspective reasoning encoding framework that integrates large language models,"L Wang, D Mao, X Zhang, F Li, H Xu, X Liu",2026,0,… reasoning encoding framework enhanced with LLM-based … medical texts regarding the classification of hemolytic anemia… an enhanced Graph Transformer that integrates textual features …,TjeL8LLPsoMJ,"L Wang, D Mao, X Zhang, F Li, H Xu, X Liu - Computational Biology and …, 2026 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1476927126001921,unknown,unknown
A Systematic Comparison of Text and Image Encoders for Visual Question Answering: From RNN to LLM-Based Representations,"SZ Dik, R Hoşavcı, ZK Akçelik, Z Kuş…",2025,1,"… before concatenating embeddings for classification. Results … embeddings to Transformer-based models and finally to LLM-… Although T5 is inherently an encoder–decoder model, its …",EWI4RUNzSKgJ,"SZ Dik, R Hoşavcı, ZK Akçelik, Z Kuş… - 2025 16th International …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11329297/,unknown,unknown
A comparative analysis of encoder only and decoder only models for challenging LLM-generated STEM MCQs using a self-evaluation approach,"G Soliman, H Zaki, M Kilany",2025,11,"… encoder, decoder, and encoder–decoder models. It also … LLMs are widely correlated with transformer-based neural … as sentiment analysis, document classification, and feature extraction…",oPGM8Lv3pNgJ,"G Soliman, H Zaki, M Kilany - Natural Language Processing Journal, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S294971912500007X,unknown,unknown
"DEEP LEARNING APPLICATIONS IN TEXT USING TRANSFORMER ARCHITECTURES, LLM, AND NEURAL NETWORKS",S Nandhini,2025,0,… single layer neural network with binary classifications. In the late 1980… The transformer is made up of encoder-decoder … well on variety of task including reasoning and creating a creative …,ONi5lU5ZylgJ,"S Nandhini - … Ecosystem: Data Science, Machine Learning and …, 2025 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=1wiOEQAAQBAJ&oi=fnd&pg=PA273&dq=encoder-decoder+transformers+LLM+classification+reasoning&ots=wqzS3wb3R_&sig=zuJLdIoYgmI5lF5FABw4UuwvSng,unknown,unknown
Encoder-decoder or decoder-only? revisiting encoder-decoder large language model,"B Zhang, Y Cheng, S Shakeri, X Wang, M Ma…",2025,6,… this gap by revisiting encoder-decoder LLM (RedLLM) and … previous efforts can be roughly classified into two categories: … BERT: Pre-training of deep bidirectional transformers for …,Epid_9dynjcJ,"B Zhang, Y Cheng, S Shakeri, X Wang, M Ma… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2510.26622,unknown,unknown
Enhancing llm reasoning for time series classification by tailored thinking and fused decision,"J Zhou, D Li, L Li, Z Chen, S Wu, H Ye, J Lou…",2025,4,"… Medformer: A multi-granularity patching transformer for medical time-series classification. In … Besides, Chronos [49] primarily focus on the variants of the encoder-decoder T5 model, and …",ElnEWiQLw38J,"J Zhou, D Li, L Li, Z Chen, S Wu, H Ye, J Lou… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2506.00807,unknown,unknown
GenEDA: Towards generative Netlist functional reasoning via cross-modal circuit encoder-decoder alignment,"W Fang, W Jing, Y Lu, S Liu…",2025,4,"… tasks with corresponding benchmarks, advancing beyond prior gate function classification. … using an LLM encoder and captures global circuit structure through a graph transformer. This …",hbdLNttlco8J,"W Fang, W Jing, Y Lu, S Liu… - 2025 IEEE/ACM …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11240762/,unknown,unknown
Unveiling decision-making in llms for text classification: Extraction of influential and interpretable concepts with sparse autoencoders,"M Le Bail, J Dentan, D Buscaldi…",2026,3,"… extracted from the penultimate transformer block in decoder… built-in utilities for encoder–decoder tied initialization, fixed-… tune five LLM backbones independently on the four classification …",XV94MMCf464J,"M Le Bail, J Dentan, D Buscaldi… - Findings of the …, 2026 - aclanthology.org",[],https://aclanthology.org/2026.findings-eacl.129/,unknown,unknown
Integrating Multi-Modal Reasoning and Explainable AI for Dermatological Image Analysis via LLM-Orchestrated Toolchains,L Sgroi,2025,0,"… of specialized tools for image classification, lesion detection, … , DETR applied encoder–decoder attention to produce object … ; this demonstrates that “the Transformer-based architecture …",8j67ufhMgn4J,L Sgroi - 2025 - webthesis.biblio.polito.it,[],https://webthesis.biblio.polito.it/37754/,unknown,unknown
Zero-shot multi-label classification of Bangla documents: Large decoders vs. classic encoders,"S Sarkar, MN Hasan, S Karmaker",2025,2,"… decoder-based models from 13 LLM families, as listed in Table 2. … through cnn-transformer based encoder-decoder net- … This approach has been found effective in capturing reasoning …",1Xmxl3HdkdQJ,"S Sarkar, MN Hasan, S Karmaker - Proceedings of the Second …, 2025 - aclanthology.org",[],https://aclanthology.org/2025.banglalp-1.7/,unknown,unknown
From Vision to Reasoning: Leveraging Deep Learning for Enhancing Large Language Models in Multimodal Understanding,L Forsythe,2025,0,"… Transformer (ViT) [4], demonstrated that self-attention mechanisms could outperform convolutional models in image classification … The system follows an encoder–decoder paradigm, in …",P45gE3dCVLoJ,"L Forsythe - Transactions on Computational and Scientific Methods, 2025 - pspress.org",[],https://pspress.org/index.php/tcsm/article/view/267,unknown,unknown
Large Language Model Enhanced Knowledge Representation Learning: A Survey: X. Wang et al.,"X Wang, Z Chen, H Wang, L Hou U, Z Li…",2025,36,"… detailed contextual information, encoder-decoder-based methods … types of Transformer: encoder-based, encoder-decoder-… on triple classification, practical deployment of LLM-based …",z56thIioCNQJ,"X Wang, Z Chen, H Wang, L Hou U, Z Li… - Data Science and …, 2025 - Springer",[],https://link.springer.com/article/10.1007/s41019-025-00285-y,unknown,unknown
"A survey of large language models for text classification: What, why, when, where, and how","Z Wang, Y Lin, J Shen, X Zhu",2025,9,"… with the introduction of the Transformer in 2017. This was … The journey of an LLM begins with pre-training [33], a phase … Li, “Reasoning before comparison: Llm-enhanced semantic …",EnCfuYnN03gJ,"Z Wang, Y Lin, J Shen, X Zhu - 2025 - techrxiv.org",[],https://www.techrxiv.org/doi/abs/10.36227/techrxiv.174559786.61330197,unknown,unknown
A Survey of Large Language Models: Foundations and Future Directions,G Roffo,2025,14,"… In NLP, neural attention appeared in encoderdecoder … This section reviews major Transformer-based LLM architectures, … models like BERT excel at classification and tokenlevel …",9FukDouD73UJ,G Roffo - 2025 - researchgate.net,[],https://www.researchgate.net/profile/Giorgio-Roffo/publication/394108041_A_Survey_of_Large_Language_Models_Foundations_and_Future_Directions/links/688b14882209617bb738a7d2/A-Survey-of-Large-Language-Models-Foundations-and-Future-Directions.pdf,unknown,unknown
Soft Contextualized Encoder For User Defined Text Classification,"C Maheshwari, V Raina",2026,0,"… against standard prompt-based LLM classification (see Appendix D), as … 2023) over encoder/encoder-decoder outputs. … For a general transformer, the cost of a forward pass is …",46JsXg7FoJoJ,"C Maheshwari, V Raina - arXiv preprint arXiv:2601.03450, 2026 - arxiv.org",[],https://arxiv.org/abs/2601.03450,unknown,unknown
Human versus AI generated text classification using deep learning and transformers,"I Priyadarshini, JM Chatterjee, P Rawat",2026,2,… distinguishes it from existing LLM classification techniques. … can effectively classify text using encoder-decoder architecture … which is built on transformer encoder-decoder layers and a …,8tC-xMuUlO4J,"I Priyadarshini, JM Chatterjee, P Rawat - Neural Computing and …, 2026 - Springer",[],https://link.springer.com/article/10.1007/s00521-026-11872-z,unknown,unknown
eBloomDQG: Integrating Cognitive Level Alignment with Encoder-Decoder Architecture for Deep Question Generation,"N Aisyah, D Purwitasari, RNE Anggraini…",2026,0,"… to the encoder-decoder architecture adopted by Transformer-… , linguistic features, and reasoning depth, thereby reducing … in terms of cognitive level classification, knowledge base …",3CSjMIxyEYkJ,"N Aisyah, D Purwitasari, RNE Anggraini… - IEEE …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11644472/,unknown,unknown
"Large language models: an overview of foundational architectures, recent trends, and a new taxonomy","ID Mienye, N Jere, G Obaido, OO Ogunruku…",2025,66,"… , and classification. T5 is based on the Transformer encoder-decoder structure, where the … various tasks including text generation, reasoning, classification, and ethical alignment [62]. …",_ON0vsS3pLIJ,"ID Mienye, N Jere, G Obaido, OO Ogunruku… - Discover Applied …, 2025 - Springer",[],https://link.springer.com/article/10.1007/s42452-025-07668-w,unknown,unknown
Transformer-Based Encoder-Decoder Model for Medical Image Captioning with Concept Embedding,"H Fadhilah, NP Utama",2026,1,"… to real-world multimodal reasoning using a hybrid high-… study issue a single LLM call with a structured prompt. The … datasets, explicit modality classification layers, or multimodal …",MYCU3-JwKDMJ,"H Fadhilah, NP Utama - Jurnal Masyarakat Informatika, 2026 - ejournal.undip.ac.id",[],https://ejournal.undip.ac.id/index.php/jmasif/article/view/75082,unknown,unknown
Classifying construction accident reports with parameter-efficient fine-tuned LLMs and ensemble methods,"J Wang, J Li, S Wu, Z Qu, M Skitmore…",2026,1,… the robustness of accident classification through advanced … For encoder–decoder and decoder-only models (T5-Large … evaluation of how different transformer paradigms handle the …,PMv85ZXyVtgJ,"J Wang, J Li, S Wu, Z Qu, M Skitmore… - Engineering …, 2026 - emerald.com",[],https://www.emerald.com/ecam/article/doi/10.1108/ECAM-12-2025-2035/1364416,unknown,unknown
Coupling RNN with LLM: Does Their Integration Improve Highly Order-Sensitive Language Understanding?,"MM Rahman, AI Shiplu, Y Watanobe…",2026,0,"… The LLM-RNN model leverages the potential of both Transformer and … , decoder-only, and encoder-decoder LLMs as part of our … For our tasks (eg, classification), all types of LLMs act as …",ywmoH9JSVD0J,"MM Rahman, AI Shiplu, Y Watanobe… - Proceedings of the …, 2026 - ojs.aaai.org",[],https://ojs.aaai.org/index.php/AAAI-SS/article/view/42584,unknown,unknown
Advances in pre-trained language models for domain-specific text classification: A systematic review,"ZR K. Rostam, G Kertész",2025,28,"… , LLM performance in text classification is still significantly low compared to fine-tuned models, due to the inability to deal with reasoning and … Third, encoder-decoder transformer models …",qopozXG_uvYJ,"ZR K. Rostam, G Kertész - ACM Transactions on Intelligent Systems and …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3763002,unknown,unknown
"A comprehensive review of llms: architecture, performance, and applications","Y Yılmaz, MM Öztürk, V Nejkovic",2025,3,"… the introduction of the transformer architecture approach, … It is possible to classify them into three main groups: decoder-… The working principle of encoder-decoder-based language …",FYuHpN4DcZ0J,"Y Yılmaz, MM Öztürk, V Nejkovic - 2025 12th International …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11114289/,unknown,unknown
A comparative analysis of encoder only and decoder only models in intent classification and sentiment analysis: navigating the trade-offs in model size and …,"A Benayas, MA Sicilia, M Mora-Cantallops",2025,37,"… , these are called Large Language Models (LLM). These LLMs aim to learn probabilistic … their transformer-based architecture. In CoT, structured prompts break down reasoning into …",Y3TuMkwe37cJ,"A Benayas, MA Sicilia, M Mora-Cantallops - Language Resources and …, 2025 - Springer",[],https://link.springer.com/article/10.1007/s10579-024-09796-y,unknown,unknown
Attention is all large language model need,Y Liu,2025,9,… of the sequence for subsequent classification tasks. The … model using an encoder-decoder Transformer architecture for … possesses powerful knowledge representation and reasoning …,IW-zi5KD7vsJ,"Y Liu - ITM web of conferences, 2025 - itm-conferences.org",[],https://www.itm-conferences.org/articles/itmconf/abs/2025/04/itmconf_iwadi2024_02025/itmconf_iwadi2024_02025.html,unknown,unknown
Transforming healthcare with AI: Multimodal VQA systems and LLMs,SS Vengatachalam…,2025,3,"… basic classification tasks, and devoid of semantic reasoning … By training an LLM technique, we improved label extraction … a transformer architecture is employed in an encoderdecoder …",Ha8QsQwVw8YJ,"SS Vengatachalam… - 2025 10th International …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10968734/,unknown,unknown
Semantic reasoning using standard attention-based models: An application to chronic disease literature,"YI Balderas-Martínez, JA Sánchez-Rojas…",2025,3,"… (LLM) APIs demonstrate impressive reasoning capabilities, … [16] approached this problem as one of classification using … [40,42], we use the encoder–decoder Transformer as an SANLM …",48C5Izu2KSMJ,"YI Balderas-Martínez, JA Sánchez-Rojas… - Big Data and Cognitive …, 2025 - mdpi.com",[],https://www.mdpi.com/2504-2289/9/6/162,unknown,unknown
From Transformers to Trust: Enhancing Large Language Models for Practical Intelligence,"MA Wajeed, R Sultana",2026,0,"… , common sense reasoning, and text classification. They exhibit … These models have progressed from basic encoder- decoder … the key paradigms that have shaped LLM development. …",AXIIQu9cdYEJ,"MA Wajeed, R Sultana - … and Ethical Dimensions of Large Language …, 2026 - igi-global.com",[],https://www.igi-global.com/chapter/from-transformers-to-trust/399110,unknown,unknown
Llm-enhanced multiple instance learning for joint rumor and stance detection with social context information,"R Yang, J Ma, W Gao, H Lin",2025,20,"… set of veracity-stance binary classification models, we introduce a … of representation enhanced by the tree transformer. Our … machine translation: Encoder–decoder approaches. In 8th …",6u1FE6zIVdoJ,"R Yang, J Ma, W Gao, H Lin - ACM Transactions on Intelligent Systems …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3716856,unknown,unknown
A Comparative Analysis of Transformer,"R Veit, M Lones",2026,0,"… -only, decoder-only and encoder-decoder based on their … of benefit to honing the bot classification task. A study detailed … choice to provide model reasoning observability and to better …",MEO0ORXtFmoJ,"R Veit, M Lones - … Systems: Contributions Presented at The 24th …, 2026 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=8oClEQAAQBAJ&oi=fnd&pg=PA342&dq=encoder-decoder+transformers+LLM+classification+reasoning&ots=KUSgM3PWJn&sig=EN2l_T3ej6nqKYT-AJTteYbJaOA,unknown,unknown
LLMs in Staging: An Orchestrated LLM Workflow for Structured Augmentation with Fact Scoring,"G Trimigno, G Lombardo, M Tomaiuolo, S Cagnoni…",2025,2,"… single pre-trained encoder-only transformer architecture, in our … as classification, summarization, or question answering. … major LLM architectures: encoder-only, encoder–decoder, …",5vNTIzDLFdIJ,"G Trimigno, G Lombardo, M Tomaiuolo, S Cagnoni… - Future Internet, 2025 - mdpi.com",[],https://www.mdpi.com/1999-5903/17/12/535,unknown,unknown
Transformer-Based Language Models for Clinical Decision Support Using Clinical Notes: A Scoping Review,"S Hong, H Na",2026,0,"… tasks, while encoder–decoder transformers are commonly … We classified the strongest supported validation design and … can perform contextual reasoning and information extraction …",UuqTyKNxIQQJ,"S Hong, H Na - Information, 2026 - mdpi.com",[],https://www.mdpi.com/2078-2489/17/7/712,unknown,unknown
Transformer-based models for natural language processing: A review of methods and applications,"Q Li, M Sun",2026,1,"… tuning are now common in chat-oriented LLM pipelines. … Encoder-decoder Transformers (and their variants) remain the … However, maintaining stable reasoning and faithful referencing …",9U0WVdFKl1MJ,"Q Li, M Sun - 2026 5th International Conference on Electronics …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11485421/,unknown,unknown
Large language models for health care text classification: systematic review,"H Sakai, SS Lam",2026,64,… into the use of transformers for text classification and resulted in the … landscape of LLM-based health care text classification. … the model to generate reasoning steps before producing the …,UbXQyd77sRQJ,"H Sakai, SS Lam - Jmir Ai, 2026 - ai.jmir.org",[],https://ai.jmir.org/2026/1/e79202/,unknown,unknown
Towards Advanced Temporal Reasoning: From Specialized Neural Networks to Large Language Models,C Yuan,2025,0,"… , utilise the full encoderdecoder architecture as introduced in the original Transformer paper [15]… intuitive classification based on reasoning complexity, we propose categorising temporal …",IpF-ySCPPW8J,C Yuan - 2025 - search.proquest.com,[],https://search.proquest.com/openview/2b1aca7f0f1f23f5fdd87f80d7e845da/1?pq-origsite=gscholar&cbl=2026366&diss=y,unknown,unknown
"A Systematic Survey of Large Language Models: Architectures, Training Paradigms, Capabilities, and Limitations","AI Abdullahi, SN UMAR…",2026,0,"… language as well as reasoning using knowledge from … 3 shows the basic Transformer encoder-decoder architecture … context is important for classification, NER and extractive QA. The …",dUzS9y6o6LEJ,"AI Abdullahi, SN UMAR… - Journal of Artificial …, 2026 - jaiep.journals.ekb.eg",[],https://jaiep.journals.ekb.eg/article_521430.html,unknown,unknown
GENERATIVE BRAIN-TO-TEXT DECODING: INTEGRATING NEURAL REPRESENTATIONS WITH LARGE LANGUAGE MODELS (LLMs),"H KOLO, FA OGALA",2026,0,… have relied on classification methods that translate neural … decoding using a pretrained transformer-based LLM. In this phase… structures may invoke deeper generative reasoning layers. …,Nq1Cc5E1RucJ,"H KOLO, FA OGALA - International Journal of African …, 2026 - cambridgeresearchpub.com",[],https://cambridgeresearchpub.com/ijarss/article/view/1096,unknown,unknown
